"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"23041",-0.5,"Native 1",38,"disamb","tt","disamb tt",6,0,328,328,-0.5,-0.5,328
"23043",-0.5,"Native 1",39,"disamb","tt","disamb tt",7,0,1822,1822,0.5,0.5,1822
"23045",-0.5,"Native 1",26,"disamb","tt","disamb tt",6,0,336,336,-0.5,-0.5,336
"23047",-0.5,"Native 1",34,"disamb","tt","disamb tt",6,0,283,283,-0.5,-0.5,283
"23049",-0.5,"Native 1",46,"disamb","tt","disamb tt",6,0,376,376,-0.5,-0.5,376
"23051",-0.5,"Native 1",29,"disamb","tt","disamb tt",5,0,485,485,0.5,-0.5,485
"23053",-0.5,"Native 1",36,"disamb","tt","disamb tt",8,0,1782,1782,-0.5,0.5,1782
"23055",-0.5,"Native 1",30,"disamb","tt","disamb tt",6,0,546,546,-0.5,-0.5,546
"23057",-0.5,"Native 1",40,"disamb","tt","disamb tt",8,0,513,513,-0.5,0.5,513
"23059",-0.5,"Native 1",33,"disamb","tt","disamb tt",5,0,558,558,0.5,-0.5,558
"23061",-0.5,"Native 1",43,"disamb","tt","disamb tt",7,0,1409,1409,0.5,0.5,1409
"23063",-0.5,"Native 1",28,"disamb","tt","disamb tt",8,0,732,732,-0.5,0.5,732
"23065",-0.5,"Native 1",31,"disamb","tt","disamb tt",7,0,751,751,0.5,0.5,751
"23067",-0.5,"Native 1",45,"disamb","tt","disamb tt",5,0,298,298,0.5,-0.5,298
"23069",-0.5,"Native 1",25,"disamb","tt","disamb tt",5,0,956,956,0.5,-0.5,956
"23071",-0.5,"Native 1",41,"disamb","tt","disamb tt",5,0,752,752,0.5,-0.5,752
"23073",-0.5,"Native 1",42,"disamb","tt","disamb tt",6,0,1555,1555,-0.5,-0.5,1555
"23075",-0.5,"Native 1",37,"disamb","tt","disamb tt",5,0,1224,1224,0.5,-0.5,1224
"23077",-0.5,"Native 1",32,"disamb","tt","disamb tt",8,0,1022,1022,-0.5,0.5,1022
