"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation","trimmed_nozero"
"30721",-0.5,"Native 1",38,"spillover2","tt","spillover2 tt",6,0,527,527,-0.5,-0.5,527
"30723",-0.5,"Native 1",39,"spillover2","tt","spillover2 tt",7,0,532,532,0.5,0.5,532
"30725",-0.5,"Native 1",26,"spillover2","tt","spillover2 tt",6,0,185,185,-0.5,-0.5,185
"30727",-0.5,"Native 1",34,"spillover2","tt","spillover2 tt",6,0,190,190,-0.5,-0.5,190
"30729",-0.5,"Native 1",46,"spillover2","tt","spillover2 tt",6,0,844,844,-0.5,-0.5,844
"30731",-0.5,"Native 1",29,"spillover2","tt","spillover2 tt",5,0,453,453,0.5,-0.5,453
"30733",-0.5,"Native 1",36,"spillover2","tt","spillover2 tt",8,0,758,758,-0.5,0.5,758
"30735",-0.5,"Native 1",30,"spillover2","tt","spillover2 tt",6,0,185,185,-0.5,-0.5,185
"30737",-0.5,"Native 1",40,"spillover2","tt","spillover2 tt",8,1,0,NA,-0.5,0.5,NA
"30739",-0.5,"Native 1",33,"spillover2","tt","spillover2 tt",5,0,464,464,0.5,-0.5,464
"30741",-0.5,"Native 1",43,"spillover2","tt","spillover2 tt",7,1,0,NA,0.5,0.5,NA
"30743",-0.5,"Native 1",28,"spillover2","tt","spillover2 tt",8,0,387,387,-0.5,0.5,387
"30745",-0.5,"Native 1",31,"spillover2","tt","spillover2 tt",7,0,289,289,0.5,0.5,289
"30747",-0.5,"Native 1",45,"spillover2","tt","spillover2 tt",5,0,149,149,0.5,-0.5,149
"30749",-0.5,"Native 1",25,"spillover2","tt","spillover2 tt",5,0,643,643,0.5,-0.5,643
"30751",-0.5,"Native 1",41,"spillover2","tt","spillover2 tt",5,0,1255,1255,0.5,-0.5,1255
"30753",-0.5,"Native 1",42,"spillover2","tt","spillover2 tt",6,0,362,362,-0.5,-0.5,362
"30755",-0.5,"Native 1",37,"spillover2","tt","spillover2 tt",5,0,460,460,0.5,-0.5,460
"30757",-0.5,"Native 1",32,"spillover2","tt","spillover2 tt",8,0,877,877,-0.5,0.5,877
"30759",-0.5,"Native 1",48,"spillover2","tt","spillover2 tt",8,0,278,278,-0.5,0.5,278
"30761",-0.5,"Native 1",47,"spillover2","tt","spillover2 tt",7,0,450,450,0.5,0.5,450
"30763",-0.5,"Native 1",44,"spillover2","tt","spillover2 tt",8,0,182,182,-0.5,0.5,182
"30765",-0.5,"Native 1",27,"spillover2","tt","spillover2 tt",7,0,633,633,0.5,0.5,633
"30767",-0.5,"Native 1",35,"spillover2","tt","spillover2 tt",7,0,204,204,0.5,0.5,204
"30769",-0.5,"Native 2",46,"spillover2","tt","spillover2 tt",7,0,1664,1664,0.5,0.5,1664
"30771",-0.5,"Native 2",25,"spillover2","tt","spillover2 tt",6,0,735,735,-0.5,-0.5,735
"30773",-0.5,"Native 2",39,"spillover2","tt","spillover2 tt",8,0,348,348,-0.5,0.5,348
"30775",-0.5,"Native 2",38,"spillover2","tt","spillover2 tt",7,0,526,526,0.5,0.5,526
"30777",-0.5,"Native 2",30,"spillover2","tt","spillover2 tt",7,0,225,225,0.5,0.5,225
"30779",-0.5,"Native 2",27,"spillover2","tt","spillover2 tt",8,0,261,261,-0.5,0.5,261
"30781",-0.5,"Native 2",29,"spillover2","tt","spillover2 tt",6,0,435,435,-0.5,-0.5,435
"30783",-0.5,"Native 2",33,"spillover2","tt","spillover2 tt",6,0,292,292,-0.5,-0.5,292
"30785",-0.5,"Native 2",32,"spillover2","tt","spillover2 tt",5,0,972,972,0.5,-0.5,972
