"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"23042",-0.5,"Native 1",24,"disamb","tt","disamb tt",4,0,188,188,-0.5,0.5,188
"23044",-0.5,"Native 1",12,"disamb","tt","disamb tt",4,0,751,751,-0.5,0.5,751
"23046",-0.5,"Native 1",6,"disamb","tt","disamb tt",2,0,1373,1373,0.5,0.5,1373
"23048",-0.5,"Native 1",7,"disamb","tt","disamb tt",3,0,562,562,-0.5,-0.5,562
"23050",-0.5,"Native 1",14,"disamb","tt","disamb tt",2,0,606,606,0.5,0.5,606
"23052",-0.5,"Native 1",21,"disamb","tt","disamb tt",1,0,790,790,0.5,-0.5,790
"23054",-0.5,"Native 1",19,"disamb","tt","disamb tt",3,1,0,NA,-0.5,-0.5,NA
"23056",-0.5,"Native 1",17,"disamb","tt","disamb tt",1,0,251,251,0.5,-0.5,251
"23058",-0.5,"Native 1",10,"disamb","tt","disamb tt",2,0,712,712,0.5,0.5,712
"23060",-0.5,"Native 1",23,"disamb","tt","disamb tt",3,0,674,674,-0.5,-0.5,674
"23062",-0.5,"Native 1",15,"disamb","tt","disamb tt",3,0,348,348,-0.5,-0.5,348
"23064",-0.5,"Native 1",1,"disamb","tt","disamb tt",1,0,201,201,0.5,-0.5,201
"23066",-0.5,"Native 1",2,"disamb","tt","disamb tt",2,0,276,276,0.5,0.5,276
"23068",-0.5,"Native 1",5,"disamb","tt","disamb tt",1,0,347,347,0.5,-0.5,347
"23070",-0.5,"Native 1",16,"disamb","tt","disamb tt",4,0,518,518,-0.5,0.5,518
"23072",-0.5,"Native 1",3,"disamb","tt","disamb tt",3,0,1043,1043,-0.5,-0.5,1043
"23074",-0.5,"Native 1",13,"disamb","tt","disamb tt",1,0,356,356,0.5,-0.5,356
"23076",-0.5,"Native 1",11,"disamb","tt","disamb tt",3,0,451,451,-0.5,-0.5,451
"23078",-0.5,"Native 1",9,"disamb","tt","disamb tt",1,0,335,335,0.5,-0.5,335
"23080",-0.5,"Native 1",8,"disamb","tt","disamb tt",4,0,424,424,-0.5,0.5,424
"23082",-0.5,"Native 1",4,"disamb","tt","disamb tt",4,0,253,253,-0.5,0.5,253
"23084",-0.5,"Native 1",20,"disamb","tt","disamb tt",4,0,696,696,-0.5,0.5,696
"23086",-0.5,"Native 1",18,"disamb","tt","disamb tt",2,0,234,234,0.5,0.5,234
"23088",-0.5,"Native 1",22,"disamb","tt","disamb tt",2,0,560,560,0.5,0.5,560
"23090",-0.5,"Native 2",14,"disamb","tt","disamb tt",3,0,376,376,-0.5,-0.5,376
"23092",-0.5,"Native 2",4,"disamb","tt","disamb tt",1,0,941,941,0.5,-0.5,941
"23094",-0.5,"Native 2",19,"disamb","tt","disamb tt",4,0,468,468,-0.5,0.5,468
"23096",-0.5,"Native 2",1,"disamb","tt","disamb tt",2,0,359,359,0.5,0.5,359
"23098",-0.5,"Native 2",5,"disamb","tt","disamb tt",2,0,263,263,0.5,0.5,263
"23100",-0.5,"Native 2",15,"disamb","tt","disamb tt",4,0,1044,1044,-0.5,0.5,1044
"23102",-0.5,"Native 2",7,"disamb","tt","disamb tt",4,0,177,177,-0.5,0.5,177
"23104",-0.5,"Native 2",18,"disamb","tt","disamb tt",3,0,210,210,-0.5,-0.5,210
"23106",-0.5,"Native 2",6,"disamb","tt","disamb tt",3,0,491,491,-0.5,-0.5,491
"23108",-0.5,"Native 2",22,"disamb","tt","disamb tt",3,0,1057,1057,-0.5,-0.5,1057
"23110",-0.5,"Native 2",10,"disamb","tt","disamb tt",3,0,734,734,-0.5,-0.5,734
"23112",-0.5,"Native 2",8,"disamb","tt","disamb tt",1,0,646,646,0.5,-0.5,646
"23114",-0.5,"Native 2",24,"disamb","tt","disamb tt",1,0,448,448,0.5,-0.5,448
"23116",-0.5,"Native 2",17,"disamb","tt","disamb tt",2,1,0,NA,0.5,0.5,NA
"23118",-0.5,"Native 2",2,"disamb","tt","disamb tt",3,0,181,181,-0.5,-0.5,181
"23120",-0.5,"Native 2",11,"disamb","tt","disamb tt",4,0,192,192,-0.5,0.5,192
"23122",-0.5,"Native 2",3,"disamb","tt","disamb tt",4,0,209,209,-0.5,0.5,209
"23124",-0.5,"Native 2",21,"disamb","tt","disamb tt",2,1,0,NA,0.5,0.5,NA
"23126",-0.5,"Native 2",20,"disamb","tt","disamb tt",1,0,244,244,0.5,-0.5,244
"23128",-0.5,"Native 2",16,"disamb","tt","disamb tt",1,0,142,142,0.5,-0.5,142
"23130",-0.5,"Native 2",13,"disamb","tt","disamb tt",2,0,321,321,0.5,0.5,321
"23132",-0.5,"Native 2",9,"disamb","tt","disamb tt",2,0,731,731,0.5,0.5,731
"23134",-0.5,"Native 2",12,"disamb","tt","disamb tt",1,0,269,269,0.5,-0.5,269
"23136",-0.5,"Native 2",23,"disamb","tt","disamb tt",4,0,391,391,-0.5,0.5,391
"23137",-0.5,"Native 3",11,"disamb","tt","disamb tt",1,0,465,465,0.5,-0.5,465
"23139",-0.5,"Native 3",21,"disamb","tt","disamb tt",3,0,145,145,-0.5,-0.5,145
"23141",-0.5,"Native 3",2,"disamb","tt","disamb tt",4,0,1794,1794,-0.5,0.5,1794
"23143",-0.5,"Native 3",20,"disamb","tt","disamb tt",2,0,2108,2108,0.5,0.5,2108
"23145",-0.5,"Native 3",9,"disamb","tt","disamb tt",3,0,564,564,-0.5,-0.5,564
"23147",-0.5,"Native 3",4,"disamb","tt","disamb tt",2,0,1408,1408,0.5,0.5,1408
"23149",-0.5,"Native 3",3,"disamb","tt","disamb tt",1,0,868,868,0.5,-0.5,868
"23151",-0.5,"Native 3",1,"disamb","tt","disamb tt",3,0,826,826,-0.5,-0.5,826
"23153",-0.5,"Native 3",13,"disamb","tt","disamb tt",3,0,1643,1643,-0.5,-0.5,1643
"23155",-0.5,"Native 3",18,"disamb","tt","disamb tt",4,0,305,305,-0.5,0.5,305
"23157",-0.5,"Native 3",7,"disamb","tt","disamb tt",1,0,440,440,0.5,-0.5,440
"23159",-0.5,"Native 3",5,"disamb","tt","disamb tt",3,0,579,579,-0.5,-0.5,579
"23161",-0.5,"Native 3",15,"disamb","tt","disamb tt",1,0,757,757,0.5,-0.5,757
"23163",-0.5,"Native 3",16,"disamb","tt","disamb tt",2,0,1035,1035,0.5,0.5,1035
"23165",-0.5,"Native 3",8,"disamb","tt","disamb tt",2,0,859,859,0.5,0.5,859
"23167",-0.5,"Native 3",22,"disamb","tt","disamb tt",4,0,1503,1503,-0.5,0.5,1503
"23169",-0.5,"Native 3",17,"disamb","tt","disamb tt",3,0,409,409,-0.5,-0.5,409
"23171",-0.5,"Native 3",19,"disamb","tt","disamb tt",1,0,1874,1874,0.5,-0.5,1874
"23173",-0.5,"Native 3",23,"disamb","tt","disamb tt",1,0,1072,1072,0.5,-0.5,1072
"23175",-0.5,"Native 3",14,"disamb","tt","disamb tt",4,0,393,393,-0.5,0.5,393
"23177",-0.5,"Native 3",24,"disamb","tt","disamb tt",2,0,182,182,0.5,0.5,182
"23179",-0.5,"Native 3",10,"disamb","tt","disamb tt",4,0,653,653,-0.5,0.5,653
"23181",-0.5,"Native 3",12,"disamb","tt","disamb tt",2,0,1049,1049,0.5,0.5,1049
"23183",-0.5,"Native 3",6,"disamb","tt","disamb tt",4,0,1992,1992,-0.5,0.5,1992
"23185",-0.5,"Native 4",21,"disamb","tt","disamb tt",4,0,157,157,-0.5,0.5,157
"23187",-0.5,"Native 4",14,"disamb","tt","disamb tt",1,0,334,334,0.5,-0.5,334
"23189",-0.5,"Native 4",22,"disamb","tt","disamb tt",1,0,197,197,0.5,-0.5,197
"23191",-0.5,"Native 4",11,"disamb","tt","disamb tt",2,0,171,171,0.5,0.5,171
"23193",-0.5,"Native 4",15,"disamb","tt","disamb tt",2,0,290,290,0.5,0.5,290
"23195",-0.5,"Native 4",23,"disamb","tt","disamb tt",2,0,172,172,0.5,0.5,172
"23197",-0.5,"Native 4",18,"disamb","tt","disamb tt",1,0,169,169,0.5,-0.5,169
"23199",-0.5,"Native 4",6,"disamb","tt","disamb tt",1,0,166,166,0.5,-0.5,166
"23201",-0.5,"Native 4",10,"disamb","tt","disamb tt",1,0,155,155,0.5,-0.5,155
"23203",-0.5,"Native 4",12,"disamb","tt","disamb tt",3,0,148,148,-0.5,-0.5,148
"23205",-0.5,"Native 4",19,"disamb","tt","disamb tt",2,0,314,314,0.5,0.5,314
"23207",-0.5,"Native 4",1,"disamb","tt","disamb tt",4,0,140,140,-0.5,0.5,140
"23209",-0.5,"Native 4",20,"disamb","tt","disamb tt",3,0,234,234,-0.5,-0.5,234
"23211",-0.5,"Native 4",16,"disamb","tt","disamb tt",3,0,469,469,-0.5,-0.5,469
"23213",-0.5,"Native 4",2,"disamb","tt","disamb tt",1,0,236,236,0.5,-0.5,236
"23215",-0.5,"Native 4",5,"disamb","tt","disamb tt",4,0,155,155,-0.5,0.5,155
"23217",-0.5,"Native 4",17,"disamb","tt","disamb tt",4,0,230,230,-0.5,0.5,230
"23219",-0.5,"Native 4",24,"disamb","tt","disamb tt",3,0,135,135,-0.5,-0.5,135
"23221",-0.5,"Native 4",13,"disamb","tt","disamb tt",4,0,422,422,-0.5,0.5,422
"23223",-0.5,"Native 4",8,"disamb","tt","disamb tt",3,0,344,344,-0.5,-0.5,344
"23225",-0.5,"Native 4",9,"disamb","tt","disamb tt",4,0,440,440,-0.5,0.5,440
"23227",-0.5,"Native 4",7,"disamb","tt","disamb tt",2,0,208,208,0.5,0.5,208
"23229",-0.5,"Native 4",4,"disamb","tt","disamb tt",3,0,605,605,-0.5,-0.5,605
"23231",-0.5,"Native 4",3,"disamb","tt","disamb tt",2,0,1042,1042,0.5,0.5,NA
"23234",-0.5,"Native 5",8,"disamb","tt","disamb tt",4,0,916,916,-0.5,0.5,916
"23236",-0.5,"Native 5",4,"disamb","tt","disamb tt",4,0,596,596,-0.5,0.5,596
"23238",-0.5,"Native 5",19,"disamb","tt","disamb tt",3,0,169,169,-0.5,-0.5,169
"23240",-0.5,"Native 5",21,"disamb","tt","disamb tt",1,0,918,918,0.5,-0.5,918
"23242",-0.5,"Native 5",13,"disamb","tt","disamb tt",1,0,600,600,0.5,-0.5,600
"23244",-0.5,"Native 5",9,"disamb","tt","disamb tt",1,0,219,219,0.5,-0.5,219
"23246",-0.5,"Native 5",3,"disamb","tt","disamb tt",3,0,734,734,-0.5,-0.5,734
"23248",-0.5,"Native 5",12,"disamb","tt","disamb tt",4,0,201,201,-0.5,0.5,201
"23250",-0.5,"Native 5",2,"disamb","tt","disamb tt",2,0,266,266,0.5,0.5,266
"23252",-0.5,"Native 5",15,"disamb","tt","disamb tt",3,0,161,161,-0.5,-0.5,161
"23254",-0.5,"Native 5",5,"disamb","tt","disamb tt",1,0,256,256,0.5,-0.5,256
"23256",-0.5,"Native 5",7,"disamb","tt","disamb tt",3,0,185,185,-0.5,-0.5,185
"23258",-0.5,"Native 5",22,"disamb","tt","disamb tt",2,0,271,271,0.5,0.5,271
"23260",-0.5,"Native 5",17,"disamb","tt","disamb tt",1,0,234,234,0.5,-0.5,234
"23262",-0.5,"Native 5",16,"disamb","tt","disamb tt",4,0,228,228,-0.5,0.5,228
"23264",-0.5,"Native 5",1,"disamb","tt","disamb tt",1,0,299,299,0.5,-0.5,299
"23266",-0.5,"Native 5",14,"disamb","tt","disamb tt",2,0,201,201,0.5,0.5,201
"23268",-0.5,"Native 5",24,"disamb","tt","disamb tt",4,1,0,NA,-0.5,0.5,NA
"23270",-0.5,"Native 5",23,"disamb","tt","disamb tt",3,0,537,537,-0.5,-0.5,537
"23272",-0.5,"Native 5",18,"disamb","tt","disamb tt",2,0,198,198,0.5,0.5,198
"23274",-0.5,"Native 5",11,"disamb","tt","disamb tt",3,0,410,410,-0.5,-0.5,410
"23276",-0.5,"Native 5",20,"disamb","tt","disamb tt",4,0,229,229,-0.5,0.5,229
"23278",-0.5,"Native 5",10,"disamb","tt","disamb tt",2,1,0,NA,0.5,0.5,NA
"23280",-0.5,"Native 5",6,"disamb","tt","disamb tt",2,0,196,196,0.5,0.5,196
"23281",-0.5,"Native 6",12,"disamb","tt","disamb tt",1,0,213,213,0.5,-0.5,213
"23283",-0.5,"Native 6",14,"disamb","tt","disamb tt",3,0,132,132,-0.5,-0.5,132
"23285",-0.5,"Native 6",5,"disamb","tt","disamb tt",2,0,158,158,0.5,0.5,158
"23287",-0.5,"Native 6",22,"disamb","tt","disamb tt",3,0,322,322,-0.5,-0.5,322
"23289",-0.5,"Native 6",15,"disamb","tt","disamb tt",4,0,124,124,-0.5,0.5,124
"23291",-0.5,"Native 6",17,"disamb","tt","disamb tt",2,0,321,321,0.5,0.5,321
"23293",-0.5,"Native 6",3,"disamb","tt","disamb tt",4,0,120,120,-0.5,0.5,120
"23295",-0.5,"Native 6",2,"disamb","tt","disamb tt",3,0,133,133,-0.5,-0.5,133
"23297",-0.5,"Native 6",9,"disamb","tt","disamb tt",2,0,150,150,0.5,0.5,150
"23299",-0.5,"Native 6",8,"disamb","tt","disamb tt",1,0,207,207,0.5,-0.5,207
"23301",-0.5,"Native 6",24,"disamb","tt","disamb tt",1,0,304,304,0.5,-0.5,304
"23303",-0.5,"Native 6",11,"disamb","tt","disamb tt",4,0,188,188,-0.5,0.5,188
"23305",-0.5,"Native 6",16,"disamb","tt","disamb tt",1,0,98,98,0.5,-0.5,98
"23307",-0.5,"Native 6",21,"disamb","tt","disamb tt",2,0,124,124,0.5,0.5,124
"23309",-0.5,"Native 6",13,"disamb","tt","disamb tt",2,0,294,294,0.5,0.5,294
"23311",-0.5,"Native 6",7,"disamb","tt","disamb tt",4,0,228,228,-0.5,0.5,228
"23313",-0.5,"Native 6",19,"disamb","tt","disamb tt",4,1,0,NA,-0.5,0.5,NA
"23315",-0.5,"Native 6",23,"disamb","tt","disamb tt",4,0,134,134,-0.5,0.5,134
"23317",-0.5,"Native 6",1,"disamb","tt","disamb tt",2,0,588,588,0.5,0.5,588
"23319",-0.5,"Native 6",6,"disamb","tt","disamb tt",3,1,0,NA,-0.5,-0.5,NA
"23321",-0.5,"Native 6",4,"disamb","tt","disamb tt",1,0,433,433,0.5,-0.5,433
"23323",-0.5,"Native 6",20,"disamb","tt","disamb tt",1,0,437,437,0.5,-0.5,437
"23325",-0.5,"Native 6",10,"disamb","tt","disamb tt",3,0,162,162,-0.5,-0.5,162
"23327",-0.5,"Native 6",18,"disamb","tt","disamb tt",3,0,211,211,-0.5,-0.5,211
"23330",-0.5,"Native 7",16,"disamb","tt","disamb tt",2,0,1704,1704,0.5,0.5,1704
"23332",-0.5,"Native 7",14,"disamb","tt","disamb tt",4,0,910,910,-0.5,0.5,910
"23334",-0.5,"Native 7",12,"disamb","tt","disamb tt",2,0,2583,2583,0.5,0.5,2583
"23336",-0.5,"Native 7",20,"disamb","tt","disamb tt",2,0,4171,4171,0.5,0.5,NA
"23338",-0.5,"Native 7",10,"disamb","tt","disamb tt",4,0,159,159,-0.5,0.5,159
