"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"1922",-0.5,"Native 1",24,"spillover1","fp","spillover1 fp",4,0,364,364,-0.5,0.5,364
"1924",-0.5,"Native 1",12,"spillover1","fp","spillover1 fp",4,0,272,272,-0.5,0.5,272
"1926",-0.5,"Native 1",6,"spillover1","fp","spillover1 fp",2,0,161,161,0.5,0.5,161
"1928",-0.5,"Native 1",7,"spillover1","fp","spillover1 fp",3,1,0,NA,-0.5,-0.5,NA
"1930",-0.5,"Native 1",14,"spillover1","fp","spillover1 fp",2,0,175,175,0.5,0.5,175
"1932",-0.5,"Native 1",21,"spillover1","fp","spillover1 fp",1,0,195,195,0.5,-0.5,195
"1934",-0.5,"Native 1",19,"spillover1","fp","spillover1 fp",3,0,206,206,-0.5,-0.5,206
"1936",-0.5,"Native 1",17,"spillover1","fp","spillover1 fp",1,0,265,265,0.5,-0.5,265
"1938",-0.5,"Native 1",10,"spillover1","fp","spillover1 fp",2,0,185,185,0.5,0.5,185
"1940",-0.5,"Native 1",23,"spillover1","fp","spillover1 fp",3,0,290,290,-0.5,-0.5,290
"1942",-0.5,"Native 1",15,"spillover1","fp","spillover1 fp",3,0,195,195,-0.5,-0.5,195
"1944",-0.5,"Native 1",1,"spillover1","fp","spillover1 fp",1,0,179,179,0.5,-0.5,179
"1946",-0.5,"Native 1",2,"spillover1","fp","spillover1 fp",2,0,209,209,0.5,0.5,209
"1948",-0.5,"Native 1",5,"spillover1","fp","spillover1 fp",1,0,408,408,0.5,-0.5,408
"1950",-0.5,"Native 1",16,"spillover1","fp","spillover1 fp",4,0,233,233,-0.5,0.5,233
"1952",-0.5,"Native 1",3,"spillover1","fp","spillover1 fp",3,0,545,545,-0.5,-0.5,545
"1954",-0.5,"Native 1",13,"spillover1","fp","spillover1 fp",1,0,197,197,0.5,-0.5,197
"1956",-0.5,"Native 1",11,"spillover1","fp","spillover1 fp",3,0,220,220,-0.5,-0.5,220
"1958",-0.5,"Native 1",9,"spillover1","fp","spillover1 fp",1,0,178,178,0.5,-0.5,178
"1960",-0.5,"Native 1",8,"spillover1","fp","spillover1 fp",4,0,442,442,-0.5,0.5,442
"1962",-0.5,"Native 1",4,"spillover1","fp","spillover1 fp",4,0,224,224,-0.5,0.5,224
"1964",-0.5,"Native 1",20,"spillover1","fp","spillover1 fp",4,0,341,341,-0.5,0.5,341
"1966",-0.5,"Native 1",18,"spillover1","fp","spillover1 fp",2,0,266,266,0.5,0.5,266
"1968",-0.5,"Native 1",22,"spillover1","fp","spillover1 fp",2,0,433,433,0.5,0.5,433
"1970",-0.5,"Native 2",14,"spillover1","fp","spillover1 fp",3,0,208,208,-0.5,-0.5,208
"1972",-0.5,"Native 2",4,"spillover1","fp","spillover1 fp",1,0,532,532,0.5,-0.5,532
"1974",-0.5,"Native 2",19,"spillover1","fp","spillover1 fp",4,0,195,195,-0.5,0.5,195
"1976",-0.5,"Native 2",1,"spillover1","fp","spillover1 fp",2,0,205,205,0.5,0.5,205
"1978",-0.5,"Native 2",5,"spillover1","fp","spillover1 fp",2,0,420,420,0.5,0.5,420
"1980",-0.5,"Native 2",15,"spillover1","fp","spillover1 fp",4,0,332,332,-0.5,0.5,332
"1982",-0.5,"Native 2",7,"spillover1","fp","spillover1 fp",4,1,0,NA,-0.5,0.5,NA
"1984",-0.5,"Native 2",18,"spillover1","fp","spillover1 fp",3,0,288,288,-0.5,-0.5,288
"1986",-0.5,"Native 2",6,"spillover1","fp","spillover1 fp",3,0,184,184,-0.5,-0.5,184
"1988",-0.5,"Native 2",22,"spillover1","fp","spillover1 fp",3,0,166,166,-0.5,-0.5,166
"1990",-0.5,"Native 2",10,"spillover1","fp","spillover1 fp",3,1,0,NA,-0.5,-0.5,NA
"1992",-0.5,"Native 2",8,"spillover1","fp","spillover1 fp",1,0,248,248,0.5,-0.5,248
"1994",-0.5,"Native 2",24,"spillover1","fp","spillover1 fp",1,0,499,499,0.5,-0.5,499
"1996",-0.5,"Native 2",17,"spillover1","fp","spillover1 fp",2,0,192,192,0.5,0.5,192
"1998",-0.5,"Native 2",2,"spillover1","fp","spillover1 fp",3,0,211,211,-0.5,-0.5,211
"2000",-0.5,"Native 2",11,"spillover1","fp","spillover1 fp",4,0,250,250,-0.5,0.5,250
"2002",-0.5,"Native 2",3,"spillover1","fp","spillover1 fp",4,0,162,162,-0.5,0.5,162
"2004",-0.5,"Native 2",21,"spillover1","fp","spillover1 fp",2,0,183,183,0.5,0.5,183
"2006",-0.5,"Native 2",20,"spillover1","fp","spillover1 fp",1,0,194,194,0.5,-0.5,194
"2008",-0.5,"Native 2",16,"spillover1","fp","spillover1 fp",1,1,0,NA,0.5,-0.5,NA
"2010",-0.5,"Native 2",13,"spillover1","fp","spillover1 fp",2,0,198,198,0.5,0.5,198
"2012",-0.5,"Native 2",9,"spillover1","fp","spillover1 fp",2,0,161,161,0.5,0.5,161
"2014",-0.5,"Native 2",12,"spillover1","fp","spillover1 fp",1,0,457,457,0.5,-0.5,457
"2016",-0.5,"Native 2",23,"spillover1","fp","spillover1 fp",4,0,366,366,-0.5,0.5,366
"2017",-0.5,"Native 3",11,"spillover1","fp","spillover1 fp",1,0,373,373,0.5,-0.5,373
"2019",-0.5,"Native 3",21,"spillover1","fp","spillover1 fp",3,0,343,343,-0.5,-0.5,343
"2021",-0.5,"Native 3",2,"spillover1","fp","spillover1 fp",4,0,585,585,-0.5,0.5,585
"2023",-0.5,"Native 3",20,"spillover1","fp","spillover1 fp",2,0,284,284,0.5,0.5,284
"2025",-0.5,"Native 3",9,"spillover1","fp","spillover1 fp",3,0,274,274,-0.5,-0.5,274
"2027",-0.5,"Native 3",4,"spillover1","fp","spillover1 fp",2,0,175,175,0.5,0.5,175
"2029",-0.5,"Native 3",3,"spillover1","fp","spillover1 fp",1,0,637,637,0.5,-0.5,637
"2031",-0.5,"Native 3",1,"spillover1","fp","spillover1 fp",3,0,327,327,-0.5,-0.5,327
"2033",-0.5,"Native 3",13,"spillover1","fp","spillover1 fp",3,0,326,326,-0.5,-0.5,326
"2035",-0.5,"Native 3",18,"spillover1","fp","spillover1 fp",4,0,384,384,-0.5,0.5,384
"2037",-0.5,"Native 3",7,"spillover1","fp","spillover1 fp",1,0,757,757,0.5,-0.5,757
"2039",-0.5,"Native 3",5,"spillover1","fp","spillover1 fp",3,0,318,318,-0.5,-0.5,318
"2041",-0.5,"Native 3",15,"spillover1","fp","spillover1 fp",1,0,218,218,0.5,-0.5,218
"2043",-0.5,"Native 3",16,"spillover1","fp","spillover1 fp",2,0,306,306,0.5,0.5,306
