"","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","gender","trimmed_nozero"
"13442",-0.5,"Native 1",24,"spillover1","rp","spillover1 rp",4,0,364,364,-0.5,0.5,364
"13444",-0.5,"Native 1",12,"spillover1","rp","spillover1 rp",4,0,4501,4501,-0.5,0.5,NA
"13446",-0.5,"Native 1",6,"spillover1","rp","spillover1 rp",2,0,161,161,0.5,0.5,161
"13448",-0.5,"Native 1",7,"spillover1","rp","spillover1 rp",3,1,0,NA,-0.5,-0.5,NA
"13450",-0.5,"Native 1",14,"spillover1","rp","spillover1 rp",2,0,1657,1657,0.5,0.5,1657
"13452",-0.5,"Native 1",21,"spillover1","rp","spillover1 rp",1,0,1279,1279,0.5,-0.5,1279
"13454",-0.5,"Native 1",19,"spillover1","rp","spillover1 rp",3,0,206,206,-0.5,-0.5,206
"13456",-0.5,"Native 1",17,"spillover1","rp","spillover1 rp",1,0,938,938,0.5,-0.5,938
"13458",-0.5,"Native 1",10,"spillover1","rp","spillover1 rp",2,0,1145,1145,0.5,0.5,1145
"13460",-0.5,"Native 1",23,"spillover1","rp","spillover1 rp",3,0,290,290,-0.5,-0.5,290
"13462",-0.5,"Native 1",15,"spillover1","rp","spillover1 rp",3,0,195,195,-0.5,-0.5,195
"13464",-0.5,"Native 1",1,"spillover1","rp","spillover1 rp",1,0,179,179,0.5,-0.5,179
"13466",-0.5,"Native 1",2,"spillover1","rp","spillover1 rp",2,0,209,209,0.5,0.5,209
"13468",-0.5,"Native 1",5,"spillover1","rp","spillover1 rp",1,0,408,408,0.5,-0.5,408
"13470",-0.5,"Native 1",16,"spillover1","rp","spillover1 rp",4,0,233,233,-0.5,0.5,233
"13472",-0.5,"Native 1",3,"spillover1","rp","spillover1 rp",3,0,2223,2223,-0.5,-0.5,2223
"13474",-0.5,"Native 1",13,"spillover1","rp","spillover1 rp",1,0,945,945,0.5,-0.5,945
"13476",-0.5,"Native 1",11,"spillover1","rp","spillover1 rp",3,0,220,220,-0.5,-0.5,220
"13478",-0.5,"Native 1",9,"spillover1","rp","spillover1 rp",1,0,178,178,0.5,-0.5,178
"13480",-0.5,"Native 1",8,"spillover1","rp","spillover1 rp",4,0,442,442,-0.5,0.5,442
"13482",-0.5,"Native 1",4,"spillover1","rp","spillover1 rp",4,0,224,224,-0.5,0.5,224
"13484",-0.5,"Native 1",20,"spillover1","rp","spillover1 rp",4,0,341,341,-0.5,0.5,341
"13486",-0.5,"Native 1",18,"spillover1","rp","spillover1 rp",2,0,266,266,0.5,0.5,266
"13488",-0.5,"Native 1",22,"spillover1","rp","spillover1 rp",2,0,433,433,0.5,0.5,433
"13490",-0.5,"Native 2",14,"spillover1","rp","spillover1 rp",3,0,685,685,-0.5,-0.5,685
"13492",-0.5,"Native 2",4,"spillover1","rp","spillover1 rp",1,0,2064,2064,0.5,-0.5,2064
"13494",-0.5,"Native 2",19,"spillover1","rp","spillover1 rp",4,0,195,195,-0.5,0.5,195
"13496",-0.5,"Native 2",1,"spillover1","rp","spillover1 rp",2,0,205,205,0.5,0.5,205
"13498",-0.5,"Native 2",5,"spillover1","rp","spillover1 rp",2,0,683,683,0.5,0.5,683
"13500",-0.5,"Native 2",15,"spillover1","rp","spillover1 rp",4,0,332,332,-0.5,0.5,332
"13502",-0.5,"Native 2",7,"spillover1","rp","spillover1 rp",4,1,0,NA,-0.5,0.5,NA
"13504",-0.5,"Native 2",18,"spillover1","rp","spillover1 rp",3,0,288,288,-0.5,-0.5,288
"13506",-0.5,"Native 2",6,"spillover1","rp","spillover1 rp",3,0,184,184,-0.5,-0.5,184
"13508",-0.5,"Native 2",22,"spillover1","rp","spillover1 rp",3,0,1402,1402,-0.5,-0.5,1402
"13510",-0.5,"Native 2",10,"spillover1","rp","spillover1 rp",3,1,0,NA,-0.5,-0.5,NA
"13512",-0.5,"Native 2",8,"spillover1","rp","spillover1 rp",1,0,392,392,0.5,-0.5,392
"13514",-0.5,"Native 2",24,"spillover1","rp","spillover1 rp",1,0,499,499,0.5,-0.5,499
"13516",-0.5,"Native 2",17,"spillover1","rp","spillover1 rp",2,0,192,192,0.5,0.5,192
"13518",-0.5,"Native 2",2,"spillover1","rp","spillover1 rp",3,0,392,392,-0.5,-0.5,392
"13520",-0.5,"Native 2",11,"spillover1","rp","spillover1 rp",4,0,661,661,-0.5,0.5,661
"13522",-0.5,"Native 2",3,"spillover1","rp","spillover1 rp",4,0,371,371,-0.5,0.5,371
"13524",-0.5,"Native 2",21,"spillover1","rp","spillover1 rp",2,0,183,183,0.5,0.5,183
"13526",-0.5,"Native 2",20,"spillover1","rp","spillover1 rp",1,0,194,194,0.5,-0.5,194
"13528",-0.5,"Native 2",16,"spillover1","rp","spillover1 rp",1,1,0,NA,0.5,-0.5,NA
"13530",-0.5,"Native 2",13,"spillover1","rp","spillover1 rp",2,0,198,198,0.5,0.5,198
"13532",-0.5,"Native 2",9,"spillover1","rp","spillover1 rp",2,0,161,161,0.5,0.5,161
"13534",-0.5,"Native 2",12,"spillover1","rp","spillover1 rp",1,0,457,457,0.5,-0.5,457
"13536",-0.5,"Native 2",23,"spillover1","rp","spillover1 rp",4,0,366,366,-0.5,0.5,366
"13537",-0.5,"Native 3",11,"spillover1","rp","spillover1 rp",1,0,373,373,0.5,-0.5,373
"13539",-0.5,"Native 3",21,"spillover1","rp","spillover1 rp",3,0,343,343,-0.5,-0.5,343
"13541",-0.5,"Native 3",2,"spillover1","rp","spillover1 rp",4,0,719,719,-0.5,0.5,719
"13543",-0.5,"Native 3",20,"spillover1","rp","spillover1 rp",2,0,1787,1787,0.5,0.5,1787
"13545",-0.5,"Native 3",9,"spillover1","rp","spillover1 rp",3,0,274,274,-0.5,-0.5,274
"13547",-0.5,"Native 3",4,"spillover1","rp","spillover1 rp",2,0,3392,3392,0.5,0.5,3392
"13549",-0.5,"Native 3",3,"spillover1","rp","spillover1 rp",1,0,1297,1297,0.5,-0.5,1297
"13551",-0.5,"Native 3",1,"spillover1","rp","spillover1 rp",3,0,327,327,-0.5,-0.5,327
"13553",-0.5,"Native 3",13,"spillover1","rp","spillover1 rp",3,0,2391,2391,-0.5,-0.5,2391
"13555",-0.5,"Native 3",18,"spillover1","rp","spillover1 rp",4,0,384,384,-0.5,0.5,384
"13557",-0.5,"Native 3",7,"spillover1","rp","spillover1 rp",1,0,757,757,0.5,-0.5,757
"13559",-0.5,"Native 3",5,"spillover1","rp","spillover1 rp",3,0,318,318,-0.5,-0.5,318
"13561",-0.5,"Native 3",15,"spillover1","rp","spillover1 rp",1,0,218,218,0.5,-0.5,218
